suspected_spell_err,num_first_person_use,num_third_person_use,mention_of_emotion,mention_of_substance,mention_of_manic,mention_of_crime,mention_of_selfharm,mention_of_hospitalization,mention_of_societal,mention_of_therapy,mention_of_violence,mention_of_isolation,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,1,0,0,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,1,11,0,0,0,5,0,0,0,3,3,1
17,1,0,1,0,0,0,1,0,0,0,0,0,1
18,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,1,0,0,0,3,0,0
10,0,0,1,0,0,0,1,0,0,0,0,0,0
13,0,0,2,0,0,0,5,0,0,0,0,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1
53,0,2,2,10,0,0,5,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,2,0,0,0,2,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,2,0,0,0,1,0,1
9,0,0,0,1,0,0,2,0,0,0,1,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,2,0,0,2,0,0,0,1,0,1
6,1,0,0,1,1,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,1,0,0
11,0,0,0,0,0,0,1,0,0,0,1,0,1
20,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,1,0,0,0,1
5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,1,0,0,0,0,1
3,0,0,0,0,0,0,1,0,0,0,1,0,1
18,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,1,0,1,0,1,0,0,0,1,0,1
33,1,0,1,0,0,0,3,0,3,4,2,1,1
13,2,1,0,0,0,0,2,0,0,0,0,0,1
7,0,1,0,0,0,0,2,0,0,0,1,0,1
2,0,0,1,0,0,0,1,0,0,0,1,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,2,0,0,1
4,0,0,1,0,0,0,1,0,0,0,0,0,1
1,3,0,1,0,0,0,1,0,0,0,1,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,1,5,0,0,0,3,0,1,0,1,0,1
34,6,8,1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1
52,3,1,2,0,0,0,6,0,0,2,4,4,1
12,0,0,0,1,0,0,1,0,1,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0,0,0,1
